station_id,bikesAvailable,C,s_min,s_max,qmin,qmax,type
202,15.0,16,8,12,-7.0,-3.0,источник
122,21.0,24,24,24,3.0,3.0,приёмник
123,17.0,24,24,24,7.0,7.0,приёмник
15,3.0,12,12,12,9.0,9.0,приёмник
16,26.0,16,16,16,-10.0,-10.0,источник
17,0.0,28,11,11,11.0,11.0,приёмник
19,0.0,20,13,13,13.0,13.0,приёмник
20,4.0,22,13,13,9.0,9.0,приёмник
21,10.0,44,39,39,29.0,29.0,приёмник
22,1.0,16,16,16,15.0,15.0,приёмник
23,0.0,30,5,17,5.0,17.0,приёмник
25,0.0,40,8,20,8.0,20.0,приёмник
149,14.0,22,15,15,1.0,1.0,приёмник
150,3.0,24,5,6,2.0,3.0,приёмник
32,6.0,20,6,14,0.0,8.0,самодостаточный
34,4.0,16,5,9,1.0,5.0,приёмник
35,4.0,16,8,13,4.0,9.0,приёмник
37,15.0,18,18,18,3.0,3.0,приёмник
40,7.0,28,11,15,4.0,8.0,приёмник
41,29.0,36,36,36,7.0,7.0,приёмник
42,6.0,18,13,15,7.0,9.0,приёмник
43,3.0,24,10,20,7.0,17.0,приёмник
